,prc,lea,expend,fiscal_year
519,007,491,1651338.02,2013-14
520,007,500,1042285.02,2013-14
521,007,510,8867585.47,2013-14
522,007,520,343727.22,2013-14
523,007,530,2660553.13,2013-14
524,007,540,2480271.93,2013-14
525,007,550,2667353.87,2013-14
526,007,560,1379830.97,2013-14
527,007,570,706995.75,2013-14
528,007,580,960791.63,2013-14
529,007,590,1800089.7,2013-14
530,007,600,39706123.88,2013-14
531,007,610,626093.14,2013-14
532,007,620,1287587.91,2013-14
533,007,630,3872695.01,2013-14
534,007,640,4604847.11,2013-14
535,007,650,7470933.63,2013-14
536,007,660,617376.57,2013-14
537,007,670,6869325.5,2013-14
538,007,680,2257277.68,2013-14
539,007,681,3566434.11,2013-14
540,007,690,377617.84,2013-14
541,007,700,1619862.99,2013-14
542,007,710,2294504.83,2013-14
543,007,720,585148.87,2013-14
544,007,730,1322670.11,2013-14
545,007,740,6523514.66,2013-14
546,007,750,683662.5,2013-14
547,007,760,5227880.04,2013-14
548,007,761,1316593.77,2013-14
549,007,770,2169603.13,2013-14
550,007,780,6605012.86,2013-14
551,007,790,3747483.56,2013-14
552,007,800,5742552.91,2013-14
553,007,810,2531092.07,2013-14
554,007,820,2436599.84,2013-14
555,007,821,829691.41,2013-14
556,007,830,1805370.2,2013-14
557,007,840,2489951.75,2013-14
558,007,850,1958111.2,2013-14
559,007,860,2392906.1,2013-14
560,007,861,370355.07,2013-14
561,007,862,472132.64,2013-14
562,007,870,577192.94,2013-14
563,007,880,1007809.16,2013-14
564,007,890,235170.05,2013-14
565,007,900,11574864.79,2013-14
566,007,910,1836024.47,2013-14
567,007,920,41826090.71,2013-14
568,007,930,683688.99,2013-14
569,007,940,477213.23,2013-14
570,007,950,1128918.99,2013-14
571,007,960,5035190.73,2013-14
572,007,970,2946386.36,2013-14
573,007,980,3663937.36,2013-14
574,007,990,1588697.82,2013-14
575,007,995,699522.06,2013-14
576,008,010,34.0,2013-14
577,008,060,103452.34,2013-14
578,008,080,287035.5,2013-14
579,008,110,2893226.83,2013-14
580,008,120,1554010.0,2013-14
581,008,160,819521.89,2013-14
582,008,180,1350000.0,2013-14
583,008,181,558000.0,2013-14
584,008,182,214830.0,2013-14
585,008,200,185084.4,2013-14
586,008,220,-352.6,2013-14
587,008,240,315000.0,2013-14
588,008,241,250000.0,2013-14
589,008,260,5350000.0,2013-14
590,008,290,400000.0,2013-14
591,008,300,95514.24,2013-14
592,008,330,496000.0,2013-14
593,008,340,9000000.0,2013-14
594,008,410,2300381.69,2013-14
595,008,421,190990.95,2013-14
596,008,440,259985.06,2013-14
597,008,490,2965200.0,2013-14
598,008,491,124802.89,2013-14
599,008,560,89985.69,2013-14
600,008,570,-0.01,2013-14
601,008,600,20220554.0,2013-14
602,008,660,163389.91,2013-14
603,008,670,3000000.0,2013-14
604,008,760,499999.55,2013-14
605,008,770,435000.0,2013-14
606,008,790,146279.71,2013-14
607,008,800,-0.01,2013-14
608,008,830,460000.0,2013-14
609,008,840,192500.0,2013-14
610,008,862,37846.17,2013-14
611,008,870,213748.58,2013-14
612,008,900,124200.0,2013-14
613,008,920,12100094.0,2013-14
614,008,940,128897.0,2013-14
615,008,970,675750.0,2013-14
616,009,010,2635789.58,2013-14
617,009,020,771902.38,2013-14
618,009,030,246764.2,2013-14
619,009,040,693034.5,2013-14
620,009,050,522190.77,2013-14
621,009,060,337558.69,2013-14
622,009,070,1050930.95,2013-14
623,009,080,523893.33,2013-14
624,009,090,852192.88,2013-14
625,009,100,1700015.25,2013-14
626,009,110,3475869.45,2013-14
627,009,111,691677.24,2013-14
628,009,120,1801348.66,2013-14
629,009,130,3714024.06,2013-14
630,009,132,548365.62,2013-14
631,009,140,2016988.13,2013-14
632,009,150,272376.62,2013-14
