,prc,lea,expend,allotment,fiscal_year
346,005,020,1220258.26,1194681.0,2016-17
347,005,030,474663.39,490680.0,2016-17
348,005,040,975456.64,1026891.0,2016-17
349,005,050,669009.9,654980.0,2016-17
350,005,060,788681.46,849712.0,2016-17
351,005,070,1706541.6,1690122.0,2016-17
352,005,080,824313.79,801041.0,2016-17
353,005,090,1415045.96,1402121.0,2016-17
354,005,100,2573422.07,2597918.0,2016-17
355,005,110,5754176.05,5684402.0,2016-17
356,005,111,986030.33,993303.0,2016-17
357,005,120,3123125.34,3164022.0,2016-17
358,005,130,5568071.33,5652690.0,2016-17
359,005,132,1093255.67,1048272.0,2016-17
360,005,140,3079677.08,3090002.0,2016-17
361,005,150,545404.04,549636.0,2016-17
362,005,160,2041384.96,2075579.0,2016-17
363,005,170,730617.36,740424.0,2016-17
364,005,180,3511819.17,3429692.0,2016-17
365,005,181,1033232.76,1077867.0,2016-17
366,005,182,751514.16,751254.0,2016-17
367,005,190,2027798.75,1974426.0,2016-17
368,005,200,1352190.7,1426842.0,2016-17
369,005,210,501478.15,488663.0,2016-17
370,005,220,369949.45,372223.0,2016-17
371,005,230,3562867.53,3578133.0,2016-17
372,005,240,1904950.46,1860734.0,2016-17
373,005,241,565032.51,571086.0,2016-17
374,005,250,3062247.83,3126105.0,2016-17
375,005,260,10942444.1,11034674.0,2016-17
376,005,270,1118029.28,1091381.0,2016-17
377,005,280,1391498.15,1422987.0,2016-17
378,005,290,4147052.53,4152827.0,2016-17
379,005,291,723958.74,730349.0,2016-17
380,005,292,513016.19,493354.0,2016-17
381,005,300,1459733.09,1533624.0,2016-17
382,005,310,2135062.97,2119272.0,2016-17
383,005,320,6892047.1,6919597.0,2016-17
384,005,330,1546297.86,1569339.0,2016-17
385,005,340,10995807.96,10986716.0,2016-17
386,005,350,1930195.44,2008083.0,2016-17
387,005,360,6935992.06,6873246.0,2016-17
388,005,370,498178.82,501734.0,2016-17
389,005,380,310011.87,314517.0,2016-17
390,005,390,2221593.94,2201120.0,2016-17
391,005,400,713476.7,692270.0,2016-17
392,005,410,15731539.91,15637579.0,2016-17
393,005,420,1046688.27,1046505.0,2016-17
394,005,421,554130.62,551372.0,2016-17
395,005,422,386371.85,393544.0,2016-17
396,005,430,3920330.72,3972936.0,2016-17
397,005,440,1878392.08,1894208.0,2016-17
398,005,450,2985486.69,2940823.0,2016-17
399,005,460,808729.81,831623.0,2016-17
400,005,470,1787370.39,1797184.0,2016-17
401,005,480,314280.19,315516.0,2016-17
402,005,490,4492217.54,4494982.0,2016-17
403,005,491,1086716.06,1101990.0,2016-17
404,005,500,1054310.42,1039077.0,2016-17
405,005,510,6339761.03,6307970.0,2016-17
406,005,520,545913.72,538125.0,2016-17
407,005,530,1969280.59,1995130.0,2016-17
408,005,540,2077052.84,2035388.0,2016-17
409,005,550,2883714.61,2809797.0,2016-17
410,005,560,1265176.4,1300624.0,2016-17
411,005,570,666038.26,646127.0,2016-17
412,005,580,1096876.95,1062504.0,2016-17
413,005,590,1568919.67,1527448.0,2016-17
414,005,600,24229592.21,24125728.0,2016-17
415,005,610,665546.61,661144.0,2016-17
416,005,620,1205553.0,1205553.0,2016-17
417,005,630,2839183.9,2859767.0,2016-17
418,005,640,3515158.79,3511982.0,2016-17
419,005,650,5496625.9,5558521.0,2016-17
420,005,660,609792.67,659273.0,2016-17
421,005,670,4922431.0,4968473.0,2016-17
422,005,680,1637406.84,1658204.0,2016-17
423,005,681,2461343.02,2516156.0,2016-17
424,005,690,412249.92,412033.0,2016-17
425,005,700,1438304.11,1441510.0,2016-17
426,005,710,2020211.94,1987082.0,2016-17
427,005,720,420183.31,431751.0,2016-17
428,005,730,1145098.12,1131833.0,2016-17
429,005,740,4654104.87,4653732.0,2016-17
430,005,750,674413.19,726156.0,2016-17
431,005,760,3865648.81,3826337.0,2016-17
432,005,761,970294.89,992896.0,2016-17
433,005,770,1914918.74,1952147.0,2016-17
434,005,780,5357369.9,5302290.0,2016-17
435,005,790,2988605.18,2998770.0,2016-17
436,005,800,4298870.49,4327170.0,2016-17
437,005,810,2169119.13,2170152.0,2016-17
438,005,820,2095628.41,2110428.0,2016-17
439,005,821,605157.5,620104.0,2016-17
440,005,830,1499962.44,1565140.0,2016-17
441,005,840,2367931.84,2326810.0,2016-17
442,005,850,2110946.15,2140087.0,2016-17
443,005,860,2130411.17,2148679.0,2016-17
444,005,861,334613.86,329729.0,2016-17
445,005,862,455636.91,448136.0,2016-17
446,005,870,463506.42,453580.0,2016-17
447,005,880,928116.34,937921.0,2016-17
448,005,890,265758.36,267711.0,2016-17
449,005,900,7600961.11,7562555.0,2016-17
450,005,910,1860015.27,1892455.0,2016-17
451,005,920,26767827.3,27410468.0,2016-17
452,005,930,812049.7,818632.0,2016-17
453,005,940,554922.15,529857.0,2016-17
454,005,950,1074576.9,1037359.0,2016-17
455,005,960,3954623.28,3906301.0,2016-17
456,005,970,2540494.39,2513350.0,2016-17
457,005,980,3056355.7,3027300.0,2016-17
458,005,990,1541418.07,1542883.0,2016-17
459,005,995,854167.98,843288.0,2016-17
460,007,010,7151591.47,7339130.0,2016-17
461,007,020,1577516.56,1515498.0,2016-17
462,007,030,494776.18,489790.0,2016-17
463,007,040,1118024.24,1163866.0,2016-17
464,007,050,1020926.26,1011793.0,2016-17
465,007,060,696343.93,731073.0,2016-17
466,007,070,2004514.43,2097730.0,2016-17
467,007,080,683702.15,696540.0,2016-17
468,007,090,1508015.68,1535116.0,2016-17
469,007,100,3985296.29,4100766.0,2016-17
470,007,110,7415785.02,7508614.0,2016-17
471,007,111,1501059.7,1467145.0,2016-17
472,007,120,3947231.84,3977129.0,2016-17
473,007,130,9530057.83,9706709.0,2016-17
474,007,132,1590864.9,1612805.0,2016-17
475,007,140,3942592.29,4078801.0,2016-17
476,007,150,633703.72,679352.0,2016-17
477,007,160,2834557.93,2882736.0,2016-17
478,007,170,848421.17,896174.0,2016-17
479,007,180,5193656.72,5431316.0,2016-17
480,007,181,1372483.29,1398933.0,2016-17
481,007,182,923479.91,894993.0,2016-17
482,007,190,2769969.07,2792866.0,2016-17
483,007,200,1107469.75,1101810.0,2016-17
484,007,210,718601.91,733513.0,2016-17
485,007,220,419231.36,447781.0,2016-17
486,007,230,5083851.67,5158199.0,2016-17
487,007,240,1897080.18,1941389.0,2016-17
488,007,241,810331.2,836198.0,2016-17
489,007,250,4411509.3,4468634.0,2016-17
490,007,260,15596130.78,16162594.0,2016-17
491,007,270,1416614.04,1457063.0,2016-17
492,007,280,1710899.35,1826445.0,2016-17
493,007,290,6142085.66,6303532.0,2016-17
494,007,291,931375.41,946052.0,2016-17
495,007,292,726438.65,733594.0,2016-17
496,007,300,2111470.16,2138854.0,2016-17
497,007,310,3179778.72,3122080.0,2016-17
498,007,320,10225542.19,10553683.0,2016-17
499,007,330,1855507.96,1812043.0,2016-17
500,007,340,17934815.54,18365579.0,2016-17
501,007,350,2528954.05,2602685.0,2016-17
502,007,360,9608238.09,9833333.0,2016-17
503,007,370,599707.91,603776.0,2016-17
504,007,380,399386.53,415052.0,2016-17
505,007,390,2414056.65,2474084.0,2016-17
506,007,400,1107192.83,1104008.0,2016-17
507,007,410,21947104.28,22554629.0,2016-17
508,007,420,856908.36,937979.0,2016-17
509,007,421,938806.36,952270.0,2016-17
510,007,422,330887.71,330761.0,2016-17
511,007,430,6323747.41,6486719.0,2016-17
512,007,440,2323228.23,2393281.0,2016-17
513,007,450,4221324.67,4357015.0,2016-17
514,007,460,1025513.89,1024095.0,2016-17
515,007,470,2631832.88,2531598.0,2016-17
516,007,480,183253.04,179985.0,2016-17
517,007,490,6382719.36,6423895.0,2016-17
518,007,491,1878252.84,1892353.0,2016-17
519,007,500,1157007.39,1198356.0,2016-17
520,007,510,10410777.07,10619600.0,2016-17
521,007,520,388861.22,389060.0,2016-17
522,007,530,3029355.9,3064842.0,2016-17
523,007,540,2773244.06,2869200.0,2016-17
524,007,550,3385507.59,3446912.0,2016-17
525,007,560,1452111.85,1579297.0,2016-17
526,007,570,706714.55,727167.0,2016-17
527,007,580,1036780.02,1037170.0,2016-17
528,007,590,1914462.33,1963745.0,2016-17
529,007,600,45565491.97,45995952.0,2016-17
530,007,610,629627.67,680364.0,2016-17
531,007,620,1262741.14,1380130.0,2016-17
532,007,630,4157478.08,4323940.0,2016-17
533,007,640,4831887.51,4885247.0,2016-17
534,007,650,8708051.45,8787784.0,2016-17
535,007,660,551549.11,562483.0,2016-17
536,007,670,7961642.05,8164652.0,2016-17
537,007,680,2413375.22,2460260.0,2016-17
538,007,681,3735571.88,4049954.0,2016-17
539,007,690,438895.39,437988.0,2016-17
540,007,700,1878224.82,1918651.0,2016-17
541,007,710,2719318.09,2771171.0,2016-17
542,007,720,600469.67,626947.0,2016-17
543,007,730,1349037.15,1439222.0,2016-17
544,007,740,7367994.21,7325060.0,2016-17
545,007,750,699577.19,694943.0,2016-17
546,007,760,5670647.99,5653871.0,2016-17
547,007,761,1494374.44,1520171.0,2016-17
548,007,770,2310352.35,2355678.0,2016-17
549,007,780,7226079.16,7170036.0,2016-17
550,007,790,4034524.01,4085409.0,2016-17
551,007,800,6058275.0,6433626.0,2016-17
552,007,810,2725681.48,2675598.0,2016-17
553,007,820,2687465.35,2675075.0,2016-17
554,007,821,907897.47,948010.0,2016-17
555,007,830,1889030.77,1866401.0,2016-17
556,007,840,2803476.38,2835994.0,2016-17
557,007,850,2012702.88,2065653.0,2016-17
558,007,860,2661626.01,2718026.0,2016-17
559,007,861,399404.76,416190.0,2016-17
560,007,862,524482.32,573999.0,2016-17
561,007,870,632147.28,681511.0,2016-17
562,007,880,1050570.55,1076441.0,2016-17
563,007,890,238816.47,258080.0,2016-17
564,007,900,12889405.95,13089580.0,2016-17
565,007,910,2026348.32,1987210.0,2016-17
566,007,920,51563884.76,50038924.0,2016-17
567,007,930,583523.93,614069.0,2016-17
568,007,940,442213.62,447259.0,2016-17
569,007,950,1391892.19,1409969.0,2016-17
570,007,960,5391772.51,5489377.0,2016-17
571,007,970,3150723.97,3238317.0,2016-17
572,007,980,3912009.17,3943228.0,2016-17
573,007,990,1747389.93,1819476.0,2016-17
574,007,995,735441.22,753550.0,2016-17
575,009,010,1246201.72,0.0,2016-17
576,009,020,354265.76,0.0,2016-17
577,009,030,170830.93,0.0,2016-17
578,009,040,327184.96,0.0,2016-17
579,009,050,173922.23,0.0,2016-17
580,009,060,268988.12,0.0,2016-17
581,009,070,591072.53,0.0,2016-17
582,009,080,350586.16,0.0,2016-17
583,009,090,333555.77,0.0,2016-17
584,009,100,1077733.88,0.0,2016-17
585,009,110,1452677.05,0.0,2016-17
586,009,111,328048.23,0.0,2016-17
587,009,120,698672.51,0.0,2016-17
588,009,130,1494498.69,0.0,2016-17
589,009,132,375603.88,0.0,2016-17
590,009,140,636059.11,0.0,2016-17
591,009,150,152425.74,0.0,2016-17
592,009,160,612562.91,0.0,2016-17
593,009,170,249036.79,0.0,2016-17
594,009,180,1063968.31,0.0,2016-17
595,009,181,281798.24,0.0,2016-17
596,009,182,225736.76,0.0,2016-17
597,009,190,584104.58,0.0,2016-17
598,009,200,269910.66,0.0,2016-17
599,009,210,191588.48,0.0,2016-17
600,009,220,107739.38,0.0,2016-17
601,009,230,778220.75,0.0,2016-17
602,009,240,334621.77,0.0,2016-17
603,009,241,212021.1,0.0,2016-17
604,009,250,758465.6,0.0,2016-17
605,009,260,2678794.85,0.0,2016-17
606,009,270,249921.8,0.0,2016-17
607,009,280,469748.28,0.0,2016-17
608,009,290,1233616.18,0.0,2016-17
609,009,291,204155.93,0.0,2016-17
610,009,292,239732.94,0.0,2016-17
611,009,300,416669.76,0.0,2016-17
612,009,310,608810.03,0.0,2016-17
613,009,320,2280964.18,0.0,2016-17
614,009,330,393817.29,0.0,2016-17
615,009,340,3442201.84,0.0,2016-17
616,009,350,669486.03,0.0,2016-17
617,009,360,1417114.44,0.0,2016-17
618,009,370,158451.77,0.0,2016-17
619,009,380,135424.4,0.0,2016-17
620,009,390,506290.65,0.0,2016-17
621,009,400,244792.22,0.0,2016-17
622,009,410,4142901.57,0.0,2016-17
623,009,420,374830.11,0.0,2016-17
624,009,421,196680.27,0.0,2016-17
625,009,422,107331.29,0.0,2016-17
626,009,430,989623.07,0.0,2016-17
627,009,440,389764.76,0.0,2016-17
628,009,450,736012.81,0.0,2016-17
